Name,Movement,Rarity,Type,Special Ability,Attack Wheel Size,Attack Name,Attack Type,Attack Value,Attack Ability,is Gen 1
Bidoof,2,C,Normal,None,4,Miss,Red,,,False
Steelix,1,R,Steel / Ground,None,20,Dig,Purple,You can move this Pokémon to an open spot next to an adjacent figure (or adjacent figures in succession to the first),☆☆,False
Steelix,1,R,Steel / Ground,None,28,Gyro Ball,White,Deals + 30 damage if the battle opponent's MP is higher than this Pokémon's MP,100,False
Steelix,1,R,Steel / Ground,None,28,Pull In,Purple,Moves the battle opponent to the P.C. and moves this Pokémon to the bench,☆☆☆,False
Steelix,1,R,Steel / Ground,None,4,Miss,Red,,,False
Steelix,1,R,Steel / Ground,None,16,Iron Tail,White,,70,False
Marill,2,C,Water / Fairy,"Huge Power - If this Pokémon is not affected by a special condition, it deals +50 damage",20,Tackle,White,,30,False
Marill,2,C,Water / Fairy,"Huge Power - If this Pokémon is not affected by a special condition, it deals +50 damage",28,Water Gun,White,,40,False
Marill,2,C,Water / Fairy,"Huge Power - If this Pokémon is not affected by a special condition, it deals +50 damage",28,Rollout,White,Spin again until Rollout does not land - damage is multiplied by the number of Rollout spins,30x,False
Marill,2,C,Water / Fairy,"Huge Power - If this Pokémon is not affected by a special condition, it deals +50 damage",20,Miss,Red,,,False
Raticate,2,C,Normal,None,28,Hyper Fang,White,,70,True
Raticate,2,C,Normal,None,64,Tackle,White,,10,True
Raticate,2,C,Normal,None,4,Miss,Red,,,True
Machop,2,C,Fighting,None,8,Miss,Red,,,True
Machop,2,C,Fighting,None,56,Focus Punch,White,,40,True
Machop,2,C,Fighting,None,4,Miss,Red,,,True
Machop,2,C,Fighting,None,28,Dodge,Blue,,,True
Luxray,2,R,Electric,Blue Spark - The Dodges of opposing Pokémon adjacent to this Pokémon become misses.,4,Dodge,Blue,,,False
Luxray,2,R,Electric,Blue Spark - The Dodges of opposing Pokémon adjacent to this Pokémon become misses.,24,Fire Fang,White,The battle opponent becomes burned. The battle opponent now has Wait,70,False
Luxray,2,R,Electric,Blue Spark - The Dodges of opposing Pokémon adjacent to this Pokémon become misses.,32,Quick Attack,Gold,,50,False
Luxray,2,R,Electric,Blue Spark - The Dodges of opposing Pokémon adjacent to this Pokémon become misses.,24,Ice Fang,White,"If this Pokémon is knocked out, the battle opponent becomes frozen.",70,False
Luxray,2,R,Electric,Blue Spark - The Dodges of opposing Pokémon adjacent to this Pokémon become misses.,4,Dodge,Blue,,,False
Luxray,2,R,Electric,Blue Spark - The Dodges of opposing Pokémon adjacent to this Pokémon become misses.,8,Miss,Red,,,False
Poliwag,3,C,Water,None,24,Bubble,White,,20,True
Poliwag,3,C,Water,None,28,Hypnosis,Purple,The battle opponent falls asleep.,☆☆,True
Poliwag,3,C,Water,None,24,Bubble,White,,20,True
Poliwag,3,C,Water,None,16,Dodge,Blue,,,True
Poliwag,3,C,Water,None,4,Miss,Red,,,True
Teddiursa,2,C,Normal,None,48,Scratch,White,,30,False
Teddiursa,2,C,Normal,None,12,Feint Attack,White,,60,False
Teddiursa,2,C,Normal,None,24,Fake Tears,White,"Spin again until an attack other than Fake Tears is spun. Damage attacks deal +20 damage,",0,False
Teddiursa,2,C,Normal,None,12,Miss,Red,,,False
Tyrogue,2,C,Fighting,None,20,High Jump Kick,White,,50,False
Tyrogue,2,C,Fighting,None,72,Tackle,White,,30,False
Tyrogue,2,C,Fighting,None,4,Miss,Red,,,False
Chespin,2,UC,Grass,None,24,Vine Whip,White,,30,False
Chespin,2,UC,Grass,None,24,Tackle,White,,20,False
Chespin,2,UC,Grass,None,24,Vine Whip,White,,50,False
Chespin,2,UC,Grass,None,20,Protect,Blue,This Pokémon gains Wait.,,False
Chespin,2,UC,Grass,None,4,Miss,Red,,,False
Lugia,2,EX,Psychic / Flying,Marine Rage - This Pokémon games +10 damage for each Water-type Pokémon in each player's bench,8,Miss,Red,,,False
Lugia,2,EX,Psychic / Flying,Marine Rage - This Pokémon games +10 damage for each Water-type Pokémon in each player's bench,24,Aeroblast,White,,120,False
Lugia,2,EX,Psychic / Flying,Marine Rage - This Pokémon games +10 damage for each Water-type Pokémon in each player's bench,24,Cyclone,Purple,The battle opponent is moved to the bench and gains Wait.,☆☆☆☆,False
Lugia,2,EX,Psychic / Flying,Marine Rage - This Pokémon games +10 damage for each Water-type Pokémon in each player's bench,24,Aeroblast,White,,120,False
Lugia,2,EX,Psychic / Flying,Marine Rage - This Pokémon games +10 damage for each Water-type Pokémon in each player's bench,8,Miss,Red,,,False
Lugia,2,EX,Psychic / Flying,Marine Rage - This Pokémon games +10 damage for each Water-type Pokémon in each player's bench,8,Dodge,Blue,,,False
Shinx,3,C,Electric,None,64,Spark,White,,30,False
Shinx,3,C,Electric,None,12,Miss,Red,,,False
Shinx,3,C,Electric,None,20,Blind,Blue,This Pokémon moves 1-2 steps back,,False
Aron,2,UC,Steel / Rock,None,24,Tackle,White,,20,False
Aron,2,UC,Steel / Rock,None,48,Big Bite,White,"If the battle opponent's type is Steel, this Pokémon takes no damage and the opponent is knocked out.",40,False
Aron,2,UC,Steel / Rock,None,20,Protect,Blue,This Pokémon gains Wait.,,False
Aron,2,UC,Steel / Rock,None,4,Miss,Red,,,False
Emolga,3,C,Electric / Flying,None,16,Miss,Red,,,False
Emolga,3,C,Electric / Flying,None,32,Thunder Shock,White,,40,False
Emolga,3,C,Electric / Flying,None,12,Miss,Red,,,False
Emolga,3,C,Electric / Flying,None,36,Volt Switch,Purple,This Pokémon switches with a Pokémon on your bench.,☆,False
Doduo,3,C,Normal / Flying,None,16,Peck,White,,20,True
Doduo,3,C,Normal / Flying,None,48,Fury Attack,White,Spin again until Fury Attack does not land - damage is multiplied by the number of Fury Attack spins,20x,True
Doduo,3,C,Normal / Flying,None,16,Peck,White,,10,True
Doduo,3,C,Normal / Flying,None,12,Dodge,Blue,,,True
Doduo,3,C,Normal / Flying,None,4,Miss,Red,,,True
Treecko,3,UC,Grass,"Wall-Climb - While on the bench, this Pokémon can MP move over non-Ghost-type Pokémon",16,Quick Attack,Gold,,20,False
Treecko,3,UC,Grass,"Wall-Climb - While on the bench, this Pokémon can MP move over non-Ghost-type Pokémon",56,Slam,White,,40,False
Treecko,3,UC,Grass,"Wall-Climb - While on the bench, this Pokémon can MP move over non-Ghost-type Pokémon",20,Dodge,Blue,,,False
Treecko,3,UC,Grass,"Wall-Climb - While on the bench, this Pokémon can MP move over non-Ghost-type Pokémon",4,Miss,Red,,,False
Heracross,2,R,Bug / Fighting,None,8,Miss,Red,,,False
Heracross,2,R,Bug / Fighting,None,32,Horn Attack,White,,120,False
Heracross,2,R,Bug / Fighting,None,20,Dodge,Blue,,,False
Heracross,2,R,Bug / Fighting,None,8,Miss,Red,,,False
Heracross,2,R,Bug / Fighting,None,28,Overhead Toss,Purple,The opponent is moved 1 step behind this Pokémon,☆,False
Combee,3,UC,Bug / Flying,Thicket Slip - This Pokémon can MP Move past Grass-type Pokémon on the field,12,Miss,Red,,,False
Combee,3,UC,Bug / Flying,Thicket Slip - This Pokémon can MP Move past Grass-type Pokémon on the field,44,Sweet Scent,Purple,One Pokémon within 3 steps' range is drawn 1-2 steps closer to this Pokémon and gains Wait,,False
Combee,3,UC,Bug / Flying,Thicket Slip - This Pokémon can MP Move past Grass-type Pokémon on the field,40,Gust,White,,10,False
Squirtle,3,UC,Water,None,12,Miss,Red,,,True
Squirtle,3,UC,Water,None,44,Bubble,White,,30,True
Squirtle,3,UC,Water,None,40,Withdraw,Blue,This Pokémon gains Wait.,,True
Meowth,2,R,Normal,None,32,Fake Out,Purple,This Pokémon switches places with its battle opponent.,☆☆☆,True
Meowth,2,R,Normal,None,36,Scratch,White,,40,True
Meowth,2,R,Normal,None,20,Dodge,Blue,,,True
Meowth,2,R,Normal,None,8,Miss,Red,,,True
Zubat,3,C,Poison / Flying,None,32,Leech Life,White,,20,True
Zubat,3,C,Poison / Flying,None,12,Air Cutter,White,,40,True
Zubat,3,C,Poison / Flying,None,32,Supersonic,Purple,The battle opponent becomes confused,☆☆,True
Zubat,3,C,Poison / Flying,None,20,Miss,Red,,,True
Ho-Oh,2,EX,Fire / Flying,"Serene Light - When this Pokémon is knocked out, all Pokémon in your P.C. are moved to the bench (this Pokémon excluded).",28,Gust,White,,50,False
Ho-Oh,2,EX,Fire / Flying,"Serene Light - When this Pokémon is knocked out, all Pokémon in your P.C. are moved to the bench (this Pokémon excluded).",32,Fire Blast,White,,100,False
Ho-Oh,2,EX,Fire / Flying,"Serene Light - When this Pokémon is knocked out, all Pokémon in your P.C. are moved to the bench (this Pokémon excluded).",24,Rainbow Wing,Purple,This Pokémon moves 2 steps away,☆☆☆,False
Ho-Oh,2,EX,Fire / Flying,"Serene Light - When this Pokémon is knocked out, all Pokémon in your P.C. are moved to the bench (this Pokémon excluded).",12,Miss,Red,,,False
Skarmory,2,R,Steel / Flying,None,4,Miss,Red,,,False
Skarmory,2,R,Steel / Flying,None,16,Swords Dance,White,Spin again until an attack other than Swords Dance is spun. Damage Attacks deal x2 damage,0,False
Skarmory,2,R,Steel / Flying,None,24,Air Cutter,White,,50,False
Skarmory,2,R,Steel / Flying,None,20,Steel Wing,White,,80,False
Skarmory,2,R,Steel / Flying,None,32,Fly Away,Purple,This Pokémon jumps over the battle opponent and lands on a surrounding point.,☆☆☆,False
Audino,1,C,Normal,Assist - Any Pokemon adjacent to this Pokemon will do +30 damage.,8,Miss,Red,,,False
Audino,1,C,Normal,Assist - Any Pokemon adjacent to this Pokemon will do +30 damage.,32,Healing Wish,Purple,This Pokémon switches with another of your Pokémon from the P.C.,☆☆,False
Audino,1,C,Normal,Assist - Any Pokemon adjacent to this Pokemon will do +30 damage.,8,Miss,Red,,,False
Audino,1,C,Normal,Assist - Any Pokemon adjacent to this Pokemon will do +30 damage.,48,Pound,White,,70,False
Machamp,2,R,Fighting,"Guts - If this Pokémon has a special condition, it deals +50 damage",4,Miss,Red,,,True
Machamp,2,R,Fighting,"Guts - If this Pokémon has a special condition, it deals +50 damage",24,Karate Chop,White,,60,True
Machamp,2,R,Fighting,"Guts - If this Pokémon has a special condition, it deals +50 damage",28,Submission,White,,80,True
Machamp,2,R,Fighting,"Guts - If this Pokémon has a special condition, it deals +50 damage",24,Karate Chop,White,,60,True
Machamp,2,R,Fighting,"Guts - If this Pokémon has a special condition, it deals +50 damage",4,Miss,Red,,,True
Machamp,2,R,Fighting,"Guts - If this Pokémon has a special condition, it deals +50 damage",12,Dodge,Blue,,,True
Kyogre,2,EX,Water,"Primal Rage - If the opponent has Groudon, Kyogre or Rayquaza on the field, this Pokémon does +20 damage",20,Break Energy,White,Your opponent's Energy Plate-based effects are lost,90,False
Kyogre,2,EX,Water,"Primal Rage - If the opponent has Groudon, Kyogre or Rayquaza on the field, this Pokémon does +20 damage",8,Dodge,Blue,,,False
Kyogre,2,EX,Water,"Primal Rage - If the opponent has Groudon, Kyogre or Rayquaza on the field, this Pokémon does +20 damage",32,Tidal Wave,Purple,All neighbour Pokémon are knocked 3 steps back and gain Wait.,☆,False
Kyogre,2,EX,Water,"Primal Rage - If the opponent has Groudon, Kyogre or Rayquaza on the field, this Pokémon does +20 damage",8,Dodge,Blue,,,False
Kyogre,2,EX,Water,"Primal Rage - If the opponent has Groudon, Kyogre or Rayquaza on the field, this Pokémon does +20 damage",20,Hydro Pump,White,,130,False
Kyogre,2,EX,Water,"Primal Rage - If the opponent has Groudon, Kyogre or Rayquaza on the field, this Pokémon does +20 damage",8,Miss,Red,,,False
Psyduck,2,UC,Water,"Migraine - If your opponent spins a Purple Attack, you can force them to respin once a turn.",24,Water Pulse,White,,60,True
Psyduck,2,UC,Water,"Migraine - If your opponent spins a Purple Attack, you can force them to respin once a turn.",32,Super Psy,White,"If this Pokémon is knocked out, the battle opponent becomes confused.",40,True
Psyduck,2,UC,Water,"Migraine - If your opponent spins a Purple Attack, you can force them to respin once a turn.",28,Disable,Purple,The battle opponent now has Wait.,☆☆,True
Psyduck,2,UC,Water,"Migraine - If your opponent spins a Purple Attack, you can force them to respin once a turn.",12,Miss,Red,,,True
Spinda,2,C,Normal,Own Tempo - This Pokémon cannot be Confused,16,Feint Attack,White,,60,False
Spinda,2,C,Normal,Own Tempo - This Pokémon cannot be Confused,12,Miss,Red,,,False
Spinda,2,C,Normal,Own Tempo - This Pokémon cannot be Confused,32,Teeter Dance,Purple,All neighbour Pokémon become confused,☆,False
Spinda,2,C,Normal,Own Tempo - This Pokémon cannot be Confused,36,Tackle,White,,30,False
Shroomish,2,C,Grass,None,24,Stun Spore,Purple,The battle opponent becomes paralyzed.,☆,False
Shroomish,2,C,Grass,None,32,Tackle,White,,30,False
Shroomish,2,C,Grass,None,28,Poison Powder,Purple,The battle opponent becomes poisoned,☆,False
Shroomish,2,C,Grass,None,12,Miss,Red,,,False
Charizard,2,EX,Fire / Flying,None,8,Miss,Red,,,True
Charizard,2,EX,Fire / Flying,None,56,Fire Spin,White,Spin again until Fire Spin does not land - damage is multiplied by the number of Fire Spin spins,60x,True
Charizard,2,EX,Fire / Flying,None,4,Miss,Red,,,True
Charizard,2,EX,Fire / Flying,None,28,Dragon Tail,White,Benches your battle opponent (except when opponent has fainted). Your battle opponent must then Wait.,100,True
Wobbuffet,2,R,Psychic,Bide - This Pokémon cannot battle.,60,Counter,White,"If the battle opponent's Attack is 20 or more, the opponent is knocked out instead of this Pokémon",0,False
Wobbuffet,2,R,Psychic,Bide - This Pokémon cannot battle.,28,Miss,Red,,,False
Wobbuffet,2,R,Psychic,Bide - This Pokémon cannot battle.,8,Protect,Blue,This Pokémon gains Wait.,,False
Pikachu,2,UC,Electric,None,24,Thunder Shock,White,,40,True
Pikachu,2,UC,Electric,None,12,Miss,Red,,,True
Pikachu,2,UC,Electric,None,24,Thunderbolt,White,,100,True
Pikachu,2,UC,Electric,None,8,Miss,Red,,,True
Pikachu,2,UC,Electric,None,24,Thunder Shock,White,,40,True
Pikachu,2,UC,Electric,None,4,Dodge,Blue,,,True
Palkia,2,EX,Water / Dragon,"Space Distortion - If there are other Pokémon on your bench, this Pokémon cannot enter the field using an MP move. This Pokémon is not knocked out in battle-if it would be, it moves to the bench instead.",28,Dragon Claw,White,,100,False
Palkia,2,EX,Water / Dragon,"Space Distortion - If there are other Pokémon on your bench, this Pokémon cannot enter the field using an MP move. This Pokémon is not knocked out in battle-if it would be, it moves to the bench instead.",32,Spacial Rend,White,"If the battle is a tie, the battle opponent is excluded from the duel",130,False
Palkia,2,EX,Water / Dragon,"Space Distortion - If there are other Pokémon on your bench, this Pokémon cannot enter the field using an MP move. This Pokémon is not knocked out in battle-if it would be, it moves to the bench instead.",28,Dragon Claw,White,,100,False
Palkia,2,EX,Water / Dragon,"Space Distortion - If there are other Pokémon on your bench, this Pokémon cannot enter the field using an MP move. This Pokémon is not knocked out in battle-if it would be, it moves to the bench instead.",8,Miss,Red,,,False
Cacnea,2,C,Grass,None,28,Poison Sting,Purple,The battle opponent becomes poisoned,☆,False
Cacnea,2,C,Grass,None,64,Pin Missile,White,Spin again until Pin Missile does not land - damage is multiplied by the number of Pin Missile spins,10x,False
Cacnea,2,C,Grass,None,4,Miss,Red,,,False
Froakie,3,UC,Water,None,8,Miss,Red,,,False
Froakie,3,UC,Water,None,28,Dodge,Blue,,,False
Froakie,3,UC,Water,None,4,Miss,Red,,,False
Froakie,3,UC,Water,None,56,Bubble,White,,30,False
Dratini,2,R,Dragon,None,20,Dragon Rage,White,,80,True
Dratini,2,R,Dragon,None,24,Push Aside,Purple,The battle opponent is moved to the bench and gains Wait.,☆☆,True
Dratini,2,R,Dragon,None,8,Miss,Red,,,True
Dratini,2,R,Dragon,None,44,Freeze Tail,White,"If this Pokémon is knocked out, the battle opponent becomes frozen.",30,True
Eevee,3,R,Normal,"Spontaneous Evolution - Whenever this Pokémon moves from the P.C. to the bench, it can evolve.",8,Dodge,Blue,,,True
Eevee,3,R,Normal,"Spontaneous Evolution - Whenever this Pokémon moves from the P.C. to the bench, it can evolve.",24,Tackle,White,,30,True
Eevee,3,R,Normal,"Spontaneous Evolution - Whenever this Pokémon moves from the P.C. to the bench, it can evolve.",28,Focus Energy,White,"Spin again until an attack other than Focus Energy is spun. Damage attacks deal x2 damage,",0,True
Eevee,3,R,Normal,"Spontaneous Evolution - Whenever this Pokémon moves from the P.C. to the bench, it can evolve.",16,Quick Attack,Gold,,20,True
Eevee,3,R,Normal,"Spontaneous Evolution - Whenever this Pokémon moves from the P.C. to the bench, it can evolve.",12,Dodge,Blue,,,True
Eevee,3,R,Normal,"Spontaneous Evolution - Whenever this Pokémon moves from the P.C. to the bench, it can evolve.",8,Miss,Red,,,True
Minun,3,C,Electric,"Minus - When Plusle is adjacent to this Pokémon, the White Attacks of your Electric Pokémon gain the battle opponent becomes Paralyezed",4,Miss,Red,,,False
Minun,3,C,Electric,"Minus - When Plusle is adjacent to this Pokémon, the White Attacks of your Electric Pokémon gain the battle opponent becomes Paralyezed",32,Nuzzle,White,"If this Pokémon is knocked out, the battle opponent becomes paralyzed.",30,False
Minun,3,C,Electric,"Minus - When Plusle is adjacent to this Pokémon, the White Attacks of your Electric Pokémon gain the battle opponent becomes Paralyezed",48,Spark,White,,20,False
Minun,3,C,Electric,"Minus - When Plusle is adjacent to this Pokémon, the White Attacks of your Electric Pokémon gain the battle opponent becomes Paralyezed",12,Dodge,Blue,,,False
Pinsir,2,R,Bug,None,8,Miss,Red,,,True
Pinsir,2,R,Bug,None,20,Guillotine,Purple,The battle opponent is knocked out,☆,True
Pinsir,2,R,Bug,None,8,Miss,Red,,,True
Pinsir,2,R,Bug,None,28,Scissor Toss,Purple,The battle opponent is knocked back 1 step and gains Wait.,☆,True
Pinsir,2,R,Bug,None,32,Vice Grip,White,,110,True
Feraligatr,1,EX,Water,"Speed Booster - When this Pokémon evolves, it will gain +1 MP",8,Miss,Red,,,False
Feraligatr,1,EX,Water,"Speed Booster - When this Pokémon evolves, it will gain +1 MP",24,Hydro Pump,White,,160,False
Feraligatr,1,EX,Water,"Speed Booster - When this Pokémon evolves, it will gain +1 MP",36,Bite,White,,100,False
Feraligatr,1,EX,Water,"Speed Booster - When this Pokémon evolves, it will gain +1 MP",4,Miss,Red,,,False
Feraligatr,1,EX,Water,"Speed Booster - When this Pokémon evolves, it will gain +1 MP",28,Wash Away,Purple,The battle opponent is knocked back 2 steps and gains Wait.,☆☆,False
Bagon,2,UC,Dragon,None,32,Bite,White,,30,False
Bagon,2,UC,Dragon,None,20,Headbutt,White,,90,False
Bagon,2,UC,Dragon,None,32,Bite,White,,30,False
Bagon,2,UC,Dragon,None,12,Miss,Red,,,False
