Name,Movement,Rarity,Type,Special Ability,Attack Wheel Size,Attack Name,Attack Type,Attack Ability,Attack Value,is Gen 1,Evolution,Evolved From,Num Evolutions
Mewtwo,2,EX,Psychic,Rapid Approach - All the Blue Attacks of htis Pokémon's battle opponents become misses,16.0,Annihilate,Blue,This Pokémon moves 2 steps away,,True,,,0
Mewtwo,2,EX,Psychic,Rapid Approach - All the Blue Attacks of htis Pokémon's battle opponents become misses,40.0,Psycho Cut,White,"Spin again - if Psycho Cut is spun, it deals +50 damage",70+,True,,,0
Mewtwo,2,EX,Psychic,Rapid Approach - All the Blue Attacks of htis Pokémon's battle opponents become misses,8.0,Miss,Red,,,True,,,0
Weezing,2,UC,Poison,None,56.0,Sludge Bomb,White,"If this Pokémon is knocked out, all Pokémon within 2 steps become Poisoned",50,True,,Koffing,1
Weezing,2,UC,Poison,None,32.0,Poison Gas,Purple,The battle opponent becomes poisoned,☆☆,True,,Koffing,1
Weezing,2,UC,Poison,None,8.0,Miss,Red,,,True,,Koffing,1
Butterfree,2,UC,Bug / Flying,"Compound Eyes - If this Pokémon has evolved, and its Attack lands on Miss, it will shift to an Attack next to it instead.",28.0,Miss,Red,,,True,,Metapod,2
Butterfree,2,UC,Bug / Flying,"Compound Eyes - If this Pokémon has evolved, and its Attack lands on Miss, it will shift to an Attack next to it instead.",32.0,Psybeam,White,"If this Pokémon is knocked out, the opponent Pokémon is Confused",70,True,,Metapod,2
Butterfree,2,UC,Bug / Flying,"Compound Eyes - If this Pokémon has evolved, and its Attack lands on Miss, it will shift to an Attack next to it instead.",36.0,Startling Powder,Purple,"The battle opponent either becomes poisoned, paralyzed, or fals asleep.",☆,True,,Metapod,2
Blastoise,2,EX,Water,None,8.0,Miss,Red,,,True,,Wartortle,2
Blastoise,2,EX,Water,None,40.0,Hydro Pump,White,,140,True,,Wartortle,2
Blastoise,2,EX,Water,None,8.0,Miss,Red,,,True,,Wartortle,2
Blastoise,2,EX,Water,None,40.0,Mirror Coat,Purple,The battle opponent is knocked out if they spin purple.,☆☆,True,,Wartortle,2
Lapras,2,R,Water / Ice,Ice Wall - This Pokémon cannot be burned or frozen,12.0,Ice Beam,White,The battle opponent is now frozen,50,True,,,0
Lapras,2,R,Water / Ice,Ice Wall - This Pokémon cannot be burned or frozen,36.0,Surf,White,,100,True,,,0
Lapras,2,R,Water / Ice,Ice Wall - This Pokémon cannot be burned or frozen,32.0,Sing,Purple,The battle opponent falls asleep.,☆,True,,,0
Lapras,2,R,Water / Ice,Ice Wall - This Pokémon cannot be burned or frozen,12.0,Dodge,Blue,,,True,,,0
Lapras,2,R,Water / Ice,Ice Wall - This Pokémon cannot be burned or frozen,4.0,Miss,Red,,,True,,,0
Pikachu,2,R,Electric,None,20.0,Quick Attack,Gold,,50,True,Raichu,,0
Pikachu,2,R,Electric,None,12.0,Thunder,White,,100,True,Raichu,,0
Pikachu,2,R,Electric,None,20.0,Thunder Wave,Purple,The battle opponent becomes paralyzed.,☆☆,True,Raichu,,0
Pikachu,2,R,Electric,None,40.0,Thunder Shock,White,,30,True,Raichu,,0
Pikachu,2,R,Electric,None,4.0,Miss,Red,,,True,Raichu,,0
Mew,3,EX,Psychic,None,4.0,Miss,Red,,,True,,,0
Mew,3,EX,Psychic,None,24.0,Psychic,White,,100,True,,,0
Mew,3,EX,Psychic,None,48.0,Hyper Sonic,Gold,"If the battle opponent's Attack is 100 damage or more, this Pokémon cannot be knocked out.",30,True,,,0
Mew,3,EX,Psychic,None,20.0,Shuttle Flip,Blue,This Pokémon can take 1-2 steps back,,True,,,0
Rattata,2,C,Normal,"(Pre 1.1)Run Away - When this Pokémon is attacked, you may return it to the Bench. This Pokémon waits 1 turn",24.0,Quick Attack,Gold,,40,True,Raticate,,0
Rattata,2,C,Normal,"(Pre 1.1)Run Away - When this Pokémon is attacked, you may return it to the Bench. This Pokémon waits 1 turn",68.0,Tackle,White,,10,True,Raticate,,0
Rattata,2,C,Normal,"(Pre 1.1)Run Away - When this Pokémon is attacked, you may return it to the Bench. This Pokémon waits 1 turn",4.0,Miss,Red,,,True,Raticate,,0
Electabuzz,2,R,Electric,Connection - This Pokémon's damage is increased by +10 for every Electric-type Pokémon it is connected to.,60.0,Thunder Punch,White,"If this Pokémon is knocked out when it uses this attack, the battle opponent becomes paralyzed.",90,True,,,0
Electabuzz,2,R,Electric,Connection - This Pokémon's damage is increased by +10 for every Electric-type Pokémon it is connected to.,24.0,Quick Attack,Gold,,30,True,,,0
Electabuzz,2,R,Electric,Connection - This Pokémon's damage is increased by +10 for every Electric-type Pokémon it is connected to.,12.0,Miss,Red,,,True,,,0
Tentacruel,1,R,Water / Poison,"Speed Booster - When this Pokémon evolves, it will gain +1 MP",8.0,Miss,Red,,,True,,Tentacool,1
Tentacruel,1,R,Water / Poison,"Speed Booster - When this Pokémon evolves, it will gain +1 MP",56.0,Tentacle Sting,White,"If this Pokémon is knocked out, the battle opponent becomes poisoned or paralyzed",120,True,,Tentacool,1
Tentacruel,1,R,Water / Poison,"Speed Booster - When this Pokémon evolves, it will gain +1 MP",8.0,Miss,Red,,,True,,Tentacool,1
Tentacruel,1,R,Water / Poison,"Speed Booster - When this Pokémon evolves, it will gain +1 MP",24.0,Mirror Coat,Purple,The battle opponent is knocked out if they spin purple,☆☆,True,,Tentacool,1
Snorlax,1,EX,Normal,Still - This Pokémon cannot be moved by other Pokémon's Attacks (except Sweet Scent). This Pokémon can't be affected by any conditions other than Sleep,4.0,Miss,Red,,,True,,,0
Snorlax,1,EX,Normal,Still - This Pokémon cannot be moved by other Pokémon's Attacks (except Sweet Scent). This Pokémon can't be affected by any conditions other than Sleep,36.0,Big Yawn,Purple,This Pokémon and the battle opponent fall asleep.,☆,True,,,0
Snorlax,1,EX,Normal,Still - This Pokémon cannot be moved by other Pokémon's Attacks (except Sweet Scent). This Pokémon can't be affected by any conditions other than Sleep,32.0,Body Slam,White,The battle opponent becomes paralyzed.,150,True,,,0
Snorlax,1,EX,Normal,Still - This Pokémon cannot be moved by other Pokémon's Attacks (except Sweet Scent). This Pokémon can't be affected by any conditions other than Sleep,24.0,Giga Impact,White,,180,True,,,0
Bellsprout,2,UC,Grass / Poison,None,32.0,Sweet Scent,Purple,One Pokémon within 3 steps' range is drawn 1-2 steps closer to this Pokémon and gains Wait.,☆,True,Weepingbell,,0
Bellsprout,2,UC,Grass / Poison,None,8.0,Miss,Red,,,True,Weepingbell,,0
Bellsprout,2,UC,Grass / Poison,None,20.0,Sleep Powder,Purple,The battle opponent falls asleep.,☆,True,Weepingbell,,0
Bellsprout,2,UC,Grass / Poison,None,36.0,Vine Whip,White,,20,True,Weepingbell,,0
Voltorb,3,UC,Electric,None,28.0,Tackle,White,,10,True,Electrode,,0
Voltorb,3,UC,Electric,None,32.0,Explosion,Purple,This Pokémon and all neighbour Pokémon faint,☆☆,True,Electrode,,0
Voltorb,3,UC,Electric,None,32.0,Shock Blast,White,"If the battle opponent spins an Attack of 101 or more damage, the battle opponent is knocked out",30,True,Electrode,,0
Voltorb,3,UC,Electric,None,4.0,Miss,Red,,,True,Electrode,,0
Haunter,2,UC,Ghost / Poison,"Infiltrator - On the field, this Pokémon can pass through other Pokémon",8.0,Miss,Red,,,True,Gengar,Ghastly,1
Haunter,2,UC,Ghost / Poison,"Infiltrator - On the field, this Pokémon can pass through other Pokémon",32.0,Toxic,Purple,The battle opponent becomes noxious.,☆,True,Gengar,Ghastly,1
Haunter,2,UC,Ghost / Poison,"Infiltrator - On the field, this Pokémon can pass through other Pokémon",16.0,Dodge,Blue,,,True,Gengar,Ghastly,1
Haunter,2,UC,Ghost / Poison,"Infiltrator - On the field, this Pokémon can pass through other Pokémon",40.0,Night Shade,White,,20,True,Gengar,Ghastly,1
Diglett,2,UC,Ground,None,20.0,Faint Attack,White,,40,True,Dugtrio,,0
Diglett,2,UC,Ground,None,40.0,Dig,Purple,This Pokémon moves away from any Pokémon attached to it.,☆☆,True,Dugtrio,,0
Diglett,2,UC,Ground,None,32.0,Scratch,White,,20,True,Dugtrio,,0
Diglett,2,UC,Ground,None,4.0,Miss,Red,,,True,Dugtrio,,0
Jigglypuff,2,R,Normal / Fairy,None,12.0,Miss,Red,,,True,Wigglytuff,,0
Jigglypuff,2,R,Normal / Fairy,None,36.0,Lullaby,Purple,All adjacent Pokémon are Asleep,☆,True,Wigglytuff,,0
Jigglypuff,2,R,Normal / Fairy,None,12.0,Hyper Voice,White,,140,True,Wigglytuff,,0
Jigglypuff,2,R,Normal / Fairy,None,36.0,Double Slap,White,"Spin one more time. If it lands on Double Slap, this attack does 20 more damage",60+,True,Wigglytuff,,0
Poliwhirl,2,UC,Water,Spinning Pattern - This Pokémon's spin will miss by two segments in a clockwise direction,8.0,Miss,Red,,,True,Poliwrath,Poliwag,1
Poliwhirl,2,UC,Water,Spinning Pattern - This Pokémon's spin will miss by two segments in a clockwise direction,16.0,Water Gun,White,,50,True,Poliwrath,Poliwag,1
Poliwhirl,2,UC,Water,Spinning Pattern - This Pokémon's spin will miss by two segments in a clockwise direction,48.0,Water Gun,White,,70,True,Poliwrath,Poliwag,1
Poliwhirl,2,UC,Water,Spinning Pattern - This Pokémon's spin will miss by two segments in a clockwise direction,24.0,Hypnosis,Purple,The battle opponent falls asleep,☆☆,True,Poliwrath,Poliwag,1
Onix,2,R,Rock / Ground,None,8.0,Protect,Blue,This Pokémon gains Wait,,True,,,0
Onix,2,R,Rock / Ground,None,56.0,Rock Slide,White,All neigbour Pokémon spin - those that miss are knocked out,80,True,,,0
Onix,2,R,Rock / Ground,None,4.0,Miss,Red,,,True,,,0
Onix,2,R,Rock / Ground,None,28.0,Dig,Purple,This Pokémon moves away from any Pokémon attached to it.,☆☆,True,,,0
Graveler,1,C,Rock / Ground,None,8.0,Miss,Red,,,True,Golem,Geodude,1
Graveler,1,C,Rock / Ground,None,40.0,Rollout,White,Spin again until Rollout does not land - damage is multiplied by the number of Rollout spins,40x,True,Golem,Geodude,1
Graveler,1,C,Rock / Ground,None,8.0,Miss,Red,,,True,Golem,Geodude,1
Graveler,1,C,Rock / Ground,None,40.0,Landslide,Purple,The battle opponent is knocked 1 step back and gains Wait,☆,True,Golem,Geodude,1
